key,name,type,equipment,muscle_group
barbell_back_squat,Barbell Back Squat,reps_weight,Barbell,Legs
barbell_deadlift,Barbell Deadlift,reps_weight,Barbell,Back / Legs
barbell_romanian_deadlift,Barbell Romanian Deadlift,reps_weight,Barbell,Legs
barbell_hip_thrust,Barbell Hip Thrust,reps_weight,Barbell,Legs
barbell_bench_press,Barbell Bench Press,reps_weight,Barbell,Chest
incline_barbell_press,Incline Barbell Press,reps_weight,Barbell,Chest
barbell_overhead_press,Barbell Overhead Press,reps_weight,Barbell,Shoulders
barbell_row,Barbell Row,reps_weight,Barbell,Back
barbell_curl,Barbell Curl,reps_weight,Barbell,Arms
close_grip_bench_press,Close-Grip Bench Press,reps_weight,Barbell,Arms
skull_crusher,Skull Crusher,reps_weight,Barbell,Arms
barbell_shrug,Barbell Shrug,reps_weight,Barbell,Back
dumbbell_bench_press,Dumbbell Bench Press,reps_weight,Dumbbell,Chest
incline_dumbbell_press,Incline Dumbbell Press,reps_weight,Dumbbell,Chest
dumbbell_flyes,Dumbbell Flyes,reps_weight,Dumbbell,Chest
dumbbell_shoulder_press,Dumbbell Shoulder Press,reps_weight,Dumbbell,Shoulders
dumbbell_lateral_raise,Dumbbell Lateral Raise,reps_weight,Dumbbell,Shoulders
dumbbell_front_raise,Dumbbell Front Raise,reps_weight,Dumbbell,Shoulders
dumbbell_rear_delt_fly,Dumbbell Rear Delt Fly,reps_weight,Dumbbell,Shoulders
arnold_press,Arnold Press,reps_weight,Dumbbell,Shoulders
dumbbell_row,Dumbbell Row,reps_weight,Dumbbell,Back
dumbbell_curl,Dumbbell Curl,reps_weight,Dumbbell,Arms
hammer_curl,Hammer Curl,reps_weight,Dumbbell,Arms
concentration_curl,Concentration Curl,reps_weight,Dumbbell,Arms
dumbbell_overhead_tricep_extension,Dumbbell Overhead Tricep Extension,reps_weight,Dumbbell,Arms
dumbbell_kickback,Dumbbell Kickback,reps_weight,Dumbbell,Arms
dumbbell_lunge,Dumbbell Lunge,reps_weight,Dumbbell,Legs
dumbbell_romanian_deadlift,Dumbbell Romanian Deadlift,reps_weight,Dumbbell,Legs
dumbbell_shrug,Dumbbell Shrug,reps_weight,Dumbbell,Back
chest_press_machine,Chest Press Machine,reps_weight,Machine,Chest
pec_deck,Pec Deck / Fly Machine,reps_weight,Machine,Chest
leg_press,Leg Press,reps_weight,Machine,Legs
leg_extension,Leg Extension,reps_weight,Machine,Legs
leg_curl,Leg Curl,reps_weight,Machine,Legs
calf_raise_machine,Calf Raise Machine,reps_weight,Machine,Legs
adductor_machine,Adductor Machine,reps_weight,Machine,Legs
abductor_machine,Abductor Machine,reps_weight,Machine,Legs
shoulder_press_machine,Shoulder Press Machine,reps_weight,Machine,Shoulders
reverse_pec_deck,Reverse Pec Deck,reps_weight,Machine,Shoulders
lat_pulldown,Lat Pulldown,reps_weight,Machine / Cable,Back
seated_cable_row,Seated Cable Row,reps_weight,Cable,Back
t_bar_row,T-Bar Row,reps_weight,Machine,Back
tricep_pushdown,Tricep Pushdown,reps_weight,Cable,Arms
cable_curl,Cable Curl,reps_weight,Cable,Arms
cable_crossover,Cable Crossover,reps_weight,Cable,Chest
face_pull,Face Pull,reps_weight,Cable,Shoulders
cable_lateral_raise,Cable Lateral Raise,reps_weight,Cable,Shoulders
cable_crunch,Cable Crunch,reps_weight,Cable,Core
kettlebell_swing,Kettlebell Swing,reps_weight,Kettlebell,Legs / Back
farmers_carry,Farmer's Carry,reps_weight,Kettlebell / Dumbbell,Full Body
pull_up,Pull-Up,reps_weight,Bodyweight,Back
chin_up,Chin-Up,reps_weight,Bodyweight,Back
inverted_row,Inverted Row,reps_weight,Bodyweight,Back
push_up,Push-Up,reps_weight,Bodyweight,Chest
wide_push_up,Wide Push-Up,reps_weight,Bodyweight,Chest
diamond_push_up,Diamond Push-Up,reps_weight,Bodyweight,Arms
decline_push_up,Decline Push-Up,reps_weight,Bodyweight,Chest
pike_push_up,Pike Push-Up,reps_weight,Bodyweight,Shoulders
dip,Dip,reps_weight,Bodyweight,Chest / Arms
squat,Squat,reps_weight,Bodyweight,Legs
lunge,Lunge,reps_weight,Bodyweight,Legs
calf_raise,Calf Raise,reps_weight,Bodyweight,Legs
crunch,Crunch,reps_weight,Bodyweight,Core
bicycle_crunch,Bicycle Crunch,reps_weight,Bodyweight,Core
leg_raise,Leg Raise,reps_weight,Bodyweight,Core
hanging_leg_raise,Hanging Leg Raise,reps_weight,Bodyweight,Core
mountain_climber,Mountain Climber,reps_weight,Bodyweight,Core
superman,Superman,reps_weight,Bodyweight,Back
burpee,Burpee,reps_weight,Bodyweight,Full Body
ab_wheel_rollout,Ab Wheel Rollout,reps_weight,Bodyweight,Core
plank,Plank,time,Bodyweight,Core
side_plank,Side Plank,time,Bodyweight,Core
wall_sit,Wall Sit,time,Bodyweight,Legs
glute_bridge_hold,Glute Bridge Hold,time,Bodyweight,Legs
dead_hang,Dead Hang,time,Bodyweight,Back
hollow_body_hold,Hollow Body Hold,time,Bodyweight,Core
l_sit,L-Sit,time,Bodyweight,Core
flexed_arm_hang,Flexed-Arm Hang,time,Bodyweight,Arms
running,Running,cardio,None,Cardio
rowing_machine,Rowing Machine,cardio,Rowing Machine,Cardio
2km_rowing,2km Rowing,cardio,Rowing Machine,Cardio
stationary_bike,Stationary Bike,cardio,Stationary Bike,Cardio
elliptical,Elliptical,cardio,Elliptical,Cardio
jump_rope,Jump Rope,cardio,Jump Rope,Cardio
